taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey
2701311	Juncus effusus L.	2701311	Juncus effusus L.	13	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Juncaceae	5353	Juncus	2701072	Juncus effusus	2701311
2713300	Isolepis setacea (L.) R.Br.	2713300	Isolepis setacea (L.) R.Br.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Isolepis	2712989	Isolepis setacea	2713300
2889934	Tropaeolum majus L.	2889934	Tropaeolum majus L.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Tropaeolaceae	6696	Tropaeolum	2889929	Tropaeolum majus	2889934
3040245	Populus generosa A.Henry	3040241	Populus jackii Sarg.	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Salicaceae	6664	Populus	3040183	Populus jackii	3040241
3104174	Matricaria maritima L.	6296621	Tripleurospermum maritimum subsp. maritimum	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Tripleurospermum	3104137	Tripleurospermum maritimum	3104173
3136365	Hieracium pilosella L.	9458333	Pilosella officinarum Vaill.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Pilosella	7785910	Pilosella officinarum	9458333
3725947	Hebenstretia dentata L.	3725947	Hebenstretia dentata L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Scrophulariaceae	2390	Hebenstretia	7331704	Hebenstretia dentata	3725947
5275132	Dryopteris filix-mas (L.) Schott.	5275132	Dryopteris filix-mas (L.) Schott.	12	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Dryopteridaceae	2373	Dryopteris	2651126	Dryopteris filix-mas	5275132
2294280	Cepaea nemoralis (Linnaeus, 1758)	2294280	Cepaea nemoralis (Linnaeus, 1758)	2	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Stylommatophora	1456	Helicidae	6540	Cepaea	2294278	Cepaea nemoralis	2294280
5373254	Cochlearia danica L.	5373254	Cochlearia danica L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Cochlearia	3040481	Cochlearia danica	5373254
9384117	Anser anser f. domesticus	9384117	Anser anser f. domesticus	64	FORM	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anser	2498016	Anser anser	2498036
2139576	Agelena labyrinthica (Clerck, 1757)	2139576	Agelena labyrinthica (Clerck, 1757)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Agelenidae	7353	Agelena	2139510	Agelena labyrinthica	2139576
2706196	Milium effusum L.	2706196	Milium effusum L.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Milium	2706194	Milium effusum	2706196
1860973	Adela reaumurella (Linnaeus, 1758)	1860973	Adela reaumurella (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Adelidae	4538	Adela	1856563	Adela reaumurella	1860973
3052513	Cardaminopsis arenosa (L.) Hayek	7068732	Arabidopsis arenosa subsp. arenosa	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Arabidopsis	3052435	Arabidopsis arenosa	3052509
4485729	Graphosoma lineatum (Linnaeus, 1758)	4485729	Graphosoma lineatum (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Pentatomidae	9650	Graphosoma	4405318	Graphosoma lineatum	4485729
5384607	Stellaria uliginosa Murray	5384606	Stellaria alsine Grimm	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Stellaria	3085667	Stellaria alsine	5384606
2487879	Cyanistes caeruleus (Linnaeus, 1758)	2487879	Cyanistes caeruleus (Linnaeus, 1758)	66	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paridae	9327	Cyanistes	2487875	Cyanistes caeruleus	2487879
2502810	Caenoplana coerulea Moseley, 1877	2502810	Caenoplana coerulea Moseley, 1877	3	SPECIES	ACCEPTED	Animalia	1	Platyhelminthes	108			Tricladida	427	Geoplanidae	6364	Caenoplana	2502807	Caenoplana coerulea	2502810
2724661	Carex hirta L.	2724661	Carex hirta L.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex hirta	2724661
1340503	Bombus terrestris (Linnaeus, 1758)	1340503	Bombus terrestris (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278	Bombus terrestris	1340503
5229493	Garrulus glandarius (Linnaeus, 1758)	5229493	Garrulus glandarius (Linnaeus, 1758)	24	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Garrulus	2482462	Garrulus glandarius	5229493
5403296	Crepis paludosa Moench	5403296	Crepis paludosa Moench	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Crepis	3143303	Crepis paludosa	5403296
7773195	Cuphea lanceolata Aiton	7773195	Cuphea lanceolata Aiton	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Lythraceae	6684	Cuphea	3188676	Cuphea lanceolata	7773195
7960979	Urtica dioica L.	7960979	Urtica dioica L.	30	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Urticaceae	6639	Urtica	2984391	Urtica dioica	7960979
5176315	Oniscus asellus Linnaeus, 1758	5176315	Oniscus asellus Linnaeus, 1758	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Oniscidae	5381	Oniscus	2199179	Oniscus asellus	5176315
2651816	Adiantum capillus-veneris L.	2651816	Adiantum capillus-veneris L.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Pteridaceae	2367	Adiantum	2650796	Adiantum capillus-veneris	2651816
